Назвнаие модели;Цена;Место продажи
Читалка ereader Kobo N647;"
600 грн.
";Харьков, Немышлянский
"13,3"" Электронная книга - монитор Onyx Boox Max 2 с HDMI входом";"
18 500 грн.
";Киев, Деснянский
"Електронна книга TeXet TB-721HD Red 7"" TFT 800x480";"
599 грн.
";Ровно
Электронная книга texet TB-721HD;"
1 500 грн.
";Киев, Днепровский
Продам на запчасти книгу pocket book 610;"
300 грн.
";Киев, Шевченковский
Електронна книга Kobo glo;"
1 400 грн.
";Львов, Сиховский
Продам PocketBook 606. Торг;"
2 500 грн.
";Кременчуг
PocketBook 740 книга на разборку раздавлен экран;"
1 000 грн.
";Киев, Оболонский
Amazon Kindle New;"
1 350 грн.
";Киев, Подольский
"Электронная книга EBook Reader 2GB +SD E-Ink 6"" тачскрин";"
895 грн.
";Киев, Шевченковский
Электронная книга Amazon Kindle All-new 10th Gen. 2019 Black;"
2 700 грн.
";Киев, Оболонский
Элементы лектронной книги Amazon Kindle 3 с Wi-Fi и Sim картой;"
100 грн.
";Киев, Соломенский
Электронная книга Lbook eReader V5 White/Белый. Полный комплект.;"
700 грн.
";Белополье
Электронная книга Amazon Kindle 3 gen;"
800 грн.
";Николаев, Центральный
Pocketbook 640 Aqua. захист від води.;"
1 600 грн.
";Дубляны
Електронна книга TEXET TB-721HD;"
200 грн.
";Красилов
Електроная книга citizen;"
450 грн.
";Ильичевка
Electronic Organizer Oregon Scientific DB-139;"
100 грн.
";Тернополь
электронная книга Globex SmartBook;"
500 грн.
";Белгород-Днестровский
Электронная книга Amazon Kindle Paperwhite;"
1 500 грн.
";Белгород-Днестровский
